sentence,compound,positive,negative,neutral,label,title
Chapter LII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Apostates.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Return Home.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Three Evil Things.,-0.6597,0.0,0.595,0.405,negative,Thus Spake Zarathustra: A Book for All and None
Chapter LV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Spirit of Gravity.,0.1779,0.362,0.0,0.638,positive,Thus Spake Zarathustra: A Book for All and None
Chapter LVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Old and New Tables.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Par.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
2.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Convalescent.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Seven Seals.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
PART IV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Honey Sacrifice.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Cry of Distress.,-0.7579,0.0,0.765,0.235,negative,Thus Spake Zarathustra: A Book for All and None
Chapter LXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Talk with the Kings.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Leech.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Magician.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter LXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Out of Service.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
